English, français,,Contexte
merchant, vendeur,,
seller, commerçant,,
fulfillment message, message de confirmation,,
order ID, numéro de commande,,
wallet, porte-monnaie (virtuel),,
order, commande,,
provider, fournisseur,,
template, gabarit,,
token, jeton,,
found, introuvable,,
administrator, administrateur boutique,,
Taler-Odoo Payment System,système de paiment Taler-Odoo,,
add-on,extension,,
payment provider,fournisseur de paiement,,
configuration,configuration,,
online payment,paiement en ligne,,
payment_taler,payment_taler,,
unpublished,non publié,,
published,publié,,
user guide,guide d'utilisation,,
invoicing,facturation,,
email,email,,
technical,technique,, nom de l'onglet
payment method,mode de paiement,,
build documentation,compiler la documentation,,
repository,dépôt,,
section,chapitre,,
More settings,,
API, API,,
sandbox, bac à sable,,
app switcher, menu de navigation de l'application,,
